RestaurantID,RestaurantName,CountryCode,City,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Price_range,Votes,Average_Cost_for_two,Rating,cost_per_person,cost_category,num_cuisines,primary_cuisines,Rating_Bucket,log_votes,popularity_score,Value-for-money,city_competition,city_competition_norm
17316374,A & A Pagliai's Pizza,216,Cedar Rapids/Iowa City,Pizza,Dollar($),,,No,2,485,25,4.3,12.5,Low,1,Pizza,Good,6.186208623900494,2085.5,1.3439999999999999,20,0.0036543029417138682
17316381,Atlas World Grill,216,Cedar Rapids/Iowa City,International,Dollar($),,,No,3,428,40,4.3,20.0,Low,1,International,Good,6.061456918928017,1840.3999999999999,1.215,20,0.0036543029417138682
17316802,BlackStone,216,Cedar Rapids/Iowa City,American| Breakfast,Dollar($),,,No,2,294,25,4.1,12.5,Low,1,American| Breakfast,Good,5.68697535633982,1205.3999999999999,1.3279999999999998,20,0.0036543029417138682
17316416,Devotay,216,Cedar Rapids/Iowa City,Mediterranean| Tapas| Vegetarian,Dollar($),,,No,3,380,40,4.0,20.0,Low,1,Mediterranean| Tapas| Vegetarian,Good,5.942799375126701,1520.0,1.2,20,0.0036543029417138682
17316449,Jimmy Jack's Rib Shack,216,Cedar Rapids/Iowa City,BBQ,Dollar($),,,No,2,259,25,4.2,12.5,Low,1,BBQ,Good,5.560681631015528,1087.8,1.336,20,0.0036543029417138682
17316603,Zoeys Pizzeria,216,Cedar Rapids/Iowa City,Pizza| Sandwich,Dollar($),,,No,2,433,25,4.7,12.5,Low,1,Pizza| Sandwich,Excellent,6.073044534100405,2035.1000000000001,1.376,20,0.0036543029417138682
16659169,Tokyo Sushi,37,Chatham-Kent,Japanese| Sushi,Dollar($),,,No,2,176,25,3.7,12.5,Low,1,Japanese| Sushi,Good,5.176149732573829,651.2,1.296,1,0.0001827151470856934
17558684,Berry Patch Restaurant,216,Clatskanie,American| Breakfast| Desserts,Dollar($),,,No,1,96,10,4.3,5.0,Low,1,American| Breakfast| Desserts,Good,4.574710978503383,412.79999999999995,1.8599999999999999,1,0.0001827151470856934
18366580,Sakura Sushi & Grill,216,Cochrane,Asian| Japanese,Dollar($),,,No,2,6,25,3.1,12.5,Low,1,Asian| Japanese,Average,1.9459101490553132,18.6,1.248,1,0.0001827151470856934
17330755,Uptown Vietnam cuisine,216,Columbus,Asian| Vietnamese,Dollar($),,,No,1,33,10,3.3,5.0,Low,1,Asian| Vietnamese,Average,3.5263605246161616,108.89999999999999,1.66,19,0.003471587794628175
17330611,Cafe Le Rue @ The Landings,216,Columbus,American| Seafood| Cajun,Dollar($),,,No,2,489,25,4.6,12.5,Low,1,American| Seafood| Cajun,Excellent,6.194405391104672,2249.3999999999996,1.3679999999999999,19,0.003471587794628175
17330609,Mark's City Grille,216,Columbus,American,Dollar($),,,No,2,345,25,4.5,12.5,Low,1,American,Good,5.846438775057725,1552.5,1.3599999999999999,19,0.003471587794628175
17330024,B Merrell's,216,Columbus,Burger| Bar Food| Southern,Dollar($),,,No,2,149,25,3.8,12.5,Low,1,Burger| Bar Food| Southern,Good,5.0106352940962555,566.1999999999999,1.304,19,0.003471587794628175
17330074,Cannon Brewpub,216,Columbus,Pizza| Bar Food,Dollar($),,,No,2,330,25,3.9,12.5,Low,1,Pizza| Bar Food,Good,5.802118375377063,1287.0,1.312,19,0.003471587794628175
17330185,Fuji Japanese Steak House,216,Columbus,Japanese| Steak,Dollar($),,,No,3,247,40,3.9,20.0,Low,1,Japanese| Steak,Good,5.5134287461649825,963.3,1.195,19,0.003471587794628175
17330397,Ruth Ann's Family Restaurant,216,Columbus,Breakfast| Diner| Southern,Dollar($),,,No,1,123,10,3.7,5.0,Low,1,Breakfast| Diner| Southern,Good,4.820281565605037,455.1,1.74,19,0.003471587794628175
17330735,Samurai Japanese Cuisine & Sushi Bar,216,Columbus,Japanese| Steak| Sushi,Dollar($),,,No,3,109,40,3.6,20.0,Low,1,Japanese| Steak| Sushi,Good,4.700480365792417,392.40000000000003,1.18,19,0.003471587794628175
17330676,Wasabi Sushi and Thai,216,Columbus,Japanese| Sushi| Thai,Dollar($),,,No,3,134,40,3.7,20.0,Low,1,Japanese| Sushi| Thai,Good,4.90527477843843,495.8,1.185,19,0.003471587794628175
17330048,Buckhead Bar and Grill,216,Columbus,Seafood| Steak| Vegetarian,Dollar($),,,No,3,722,40,4.2,20.0,Low,1,Seafood| Steak| Vegetarian,Good,6.583409222158765,3032.4,1.21,19,0.003471587794628175
17330604,Burt's Butcher Shoppe and Eatery,216,Columbus,Steak,Dollar($),,,No,2,213,25,4.3,12.5,Low,1,Steak,Good,5.365976015021851,915.9,1.3439999999999999,19,0.003471587794628175
17330087,Chef Lee's Peking Restaurant,216,Columbus,Chinese,Dollar($),,,No,2,335,25,4.0,12.5,Low,1,Chinese,Good,5.817111159963204,1340.0,1.32,19,0.003471587794628175
17330137,Country's Barbecue,216,Columbus,BBQ| Southern,Dollar($),,,No,2,353,25,4.0,12.5,Low,1,BBQ| Southern,Good,5.869296913133774,1412.0,1.32,19,0.003471587794628175
17330309,Mellow Mushroom,216,Columbus,Pizza,Dollar($),,,No,2,192,25,4.1,12.5,Low,1,Pizza,Good,5.262690188904886,787.1999999999999,1.3279999999999998,19,0.003471587794628175
17330311,Meritage,216,Columbus,American| Tapas,Dollar($),,,No,3,302,40,4.1,20.0,Low,1,American| Tapas,Good,5.713732805509369,1238.1999999999998,1.205,19,0.003471587794628175
17330615,Mongo The Mongolian Fire Pit,216,Columbus,Asian| Chinese,Dollar($),,,No,1,355,10,4.2,5.0,Low,1,Asian| Chinese,Good,5.87493073085203,1491.0,1.84,19,0.003471587794628175
17330638,The Black Cow,216,Columbus,American,Dollar($),,,No,2,287,25,4.3,12.5,Low,1,American,Good,5.662960480135946,1234.1,1.3439999999999999,19,0.003471587794628175
17330628,Wood Stone,216,Columbus,Italian| Mediterranean| Pizza,Dollar($),,,No,3,264,40,4.0,20.0,Low,1,Italian| Mediterranean| Pizza,Good,5.579729825986222,1056.0,1.2,19,0.003471587794628175
17330546,Hunter's Pub,216,Columbus,American| Seafood| Steak,Dollar($),,,No,3,235,40,4.4,20.0,Low,1,American| Seafood| Steak,Good,5.4638318050256105,1034.0,1.22,19,0.003471587794628175
16643459,Consort Restaurant,37,Consort,Chinese| Canadian,Dollar($),,,No,2,6,25,3.0,12.5,Low,1,Chinese| Canadian,Average,1.9459101490553132,18.0,1.24,1,0.0001827151470856934
17334434,Thatcher's Barbeque and Grill,216,Dalton,American| BBQ| Southern,Dollar($),,,No,2,38,25,3.7,12.5,Low,1,American| BBQ| Southern,Good,3.6635616461296463,140.6,1.296,20,0.0036543029417138682
17334348,Christian and Jake's Bistro,216,Dalton,Desserts| Sandwich,Dollar($),,,No,1,122,10,4.4,5.0,Low,1,Desserts| Sandwich,Good,4.812184355372417,536.8000000000001,1.8800000000000001,20,0.0036543029417138682
17334213,Dub's High on the Hog,216,Dalton,BBQ,Dollar($),,,No,2,207,25,4.4,12.5,Low,1,BBQ,Good,5.337538079701318,910.8000000000001,1.352,20,0.0036543029417138682
17334355,Sierra's Mexican Restaurant,216,Dalton,Mexican| Tex-Mex,Dollar($),,,No,1,66,10,3.9,5.0,Low,1,Mexican| Tex-Mex,Good,4.204692619390966,257.4,1.78,20,0.0036543029417138682
17334212,Oakwood Cafe,216,Dalton,BBQ| Breakfast| Southern,Dollar($),,,No,1,249,10,4.9,5.0,Low,1,BBQ| Breakfast| Southern,Excellent,5.521460917862246,1220.1000000000001,1.98,20,0.0036543029417138682
17333797,Chili's Grill & Bar,216,Dalton,American,Dollar($),,,No,2,63,25,3.8,12.5,Low,1,American,Good,4.1588830833596715,239.39999999999998,1.304,20,0.0036543029417138682
17334217,Fuji Japanese Steakhouse,216,Dalton,Japanese| Sushi,Dollar($),,,No,3,145,40,3.8,20.0,Low,1,Japanese| Sushi,Good,4.983606621708336,551.0,1.19,20,0.0036543029417138682
17334273,Las Palmas,216,Dalton,Mexican,Dollar($),,,No,1,83,10,3.8,5.0,Low,1,Mexican,Good,4.430816798843313,315.4,1.76,20,0.0036543029417138682
17334254,Tony's Italian Restaurant & Pizza,216,Dalton,Italian,Dollar($),,,No,2,116,25,3.7,12.5,Low,1,Italian,Good,4.762173934797756,429.20000000000005,1.296,20,0.0036543029417138682
17333836,Filling Station,216,Dalton,American| Burger,Dollar($),,,No,1,122,10,4.1,5.0,Low,1,American| Burger,Good,4.812184355372417,500.19999999999993,1.8199999999999998,20,0.0036543029417138682
17334197,Five Guys Burgers and Fries,216,Dalton,Fast Food,Dollar($),,,No,1,142,10,4.1,5.0,Low,1,Fast Food,Good,4.962844630259907,582.1999999999999,1.8199999999999998,20,0.0036543029417138682
17333882,Los Pablos,216,Dalton,Mexican,Dollar($),,,No,1,114,10,4.1,5.0,Low,1,Mexican,Good,4.74493212836325,467.4,1.8199999999999998,20,0.0036543029417138682
17334211,Kobe Hibachi & Sushi,216,Dalton,American| Japanese| Sushi,Dollar($),,,No,2,214,25,4.6,12.5,Low,1,American| Japanese| Sushi,Excellent,5.3706380281276624,984.4,1.3679999999999999,20,0.0036543029417138682
17334390,Soho Hibachi,216,Dalton,Japanese,Dollar($),,,No,1,116,10,4.3,5.0,Low,1,Japanese,Good,4.762173934797756,498.79999999999995,1.8599999999999999,20,0.0036543029417138682
17334034,Thai Garden,216,Dalton,Thai,Dollar($),,,No,2,111,25,4.2,12.5,Low,1,Thai,Good,4.718498871295094,466.20000000000005,1.336,20,0.0036543029417138682
